longitude,latitude,Name,ACCESS_ID,ACCESS_LOC,ACESS_TYPE,BIKE_RACK,BWC_Info,BeachMat,BeachWheelchair,CAMA_SIGN,COMMENT_,CONTRACT_NUM,CONTRACT_YR,COUNTY,DCM_Funded,DCM_RO,DUNE_WALK,Field Name,HAND_BEACH,HAND_DUNE,HAND_OVRLK,HAND_PRKG,KayakCanoeLaunch,LOCL_SPONS,Land_Status,NCDCM_ID,NEAR_DIST,NEAR_FID,OVERLOOK,PARKING,PARKING_OPTIONS,PHOTO,PIC_TABLE,PLACE,PRKG_COMMENTS,PRK_FEE,PaidParkURL,RESTRM,SHOWER,SURV_DATE,VEH_ACCESS,WaterAccessTYPE
-77.90552641,33.99885983,NULL,Beach Access #120,,,longitude,,,,,,,,,,,,Field Value,,,,,,,,,,,,,,,,,,,,,,,,
-75.57679594,35.87143289,Nags Head,Jacob Street,S. Old Oregon Inlet Road and Jacob Street,Beach,0,http://nagsheadnc.gov/309/Public-Beach-Accesses,,1,1,,,,Dare,1,Elizabeth City Regional Office,0,Field Value,0,0,0,0,0,Town of Nags Head,Municipality,1217,847.026433,592,0,0,No Parking,ecity_nh_jacob_183.png,0,Nags Head,,,n/a,0,0,12/19/07,,Ocean
-75.70470451,36.08963178,Kitty Hawk,Luke St.,Luke St. and NC 12,Beach,0,n/a,,0,0,Handicap accessible to beach,,,Dare,0,Elizabeth City Regional Office,0,Field Value,1,0,0,,0,Town of Kitty Hawk,Municipality,1174,855.482621,244,0,,No Parking,ecity_kh_eluke_137.png,0,Kitty Hawk,,,n/a,0,0,11/14/07,,Ocean
-78.17694768,33.91473381,Oak Island,17th Place West,17th Pl W & Beach Dr,Beach,0,https://oakisland.recdesk.com/Community/Page?pageId=8056,0,1,0,Doggie Box,,,Brunswick,0,Wilmington Regional Office,0,Field Value,0,0,0,,0,Oak Island,Municipality,198,799.804226,688,0,4,Both Parking Options,Local.png,0,Oak Island,Additional parking across the street,0,n/a,0,0,21:08.8,No,Ocean
-78.07995415,33.90363411,Oak Island,Trott St,Trott St & Ocean Dr,Beach,0,https://oakisland.recdesk.com/Community/Page?pageId=8056,0,1,0,Doggie Box,,,Brunswick,1,Wilmington Regional Office,0,Field Value,0,1,0,,0,Oak Island,Municipality,152,329.571857,358,0,5,Onsite Parking,Local.png,0,Oak Island,,0,n/a,0,0,21:08.8,E,Ocean
-77.78993744,34.21338607,Wrightsville Beach,18,East Henderson St,Beach,0,https://www.townofwrightsvillebeach.com/321/Accessibility,,1,1,,,,New Hanover,0,WILM,0,Field Value,0,0,0,0,0,Wrightsville Beach,Municipality,25,193.657564,22,0,0,On-Street Parking,WB30.png,0,Wrightsville Beach,,,n/a,0,0,57:23.1,,Ocean
-75.69961609,36.08116947,Kitty Hawk,Hawks St.,Hawks St. and NC 12,Beach,0,n/a,,0,1,Handicap accessible to beach,,,Dare,0,Elizabeth City Regional Office,0,Field Value,1,0,0,0,0,Town of Kitty Hawk,Municipality,1165,856.028532,240,0,0,On-Street Parking,ecity_kh_hawks_128.png,0,Kitty Hawk,,,n/a,0,0,11/14/07,,Ocean
-76.355683,36.506715,Camden County,Dismal Swamp State Park and Welcome Center,2356 US Hwy 17 N,Shoreline,1,n/a,,0,0,boardwalk - boat dock - grills - nature trails,,,Camden,0,Elizabeth City Regional Office,0,Field Value,0,0,0,5,1,NCDP&R,STATE-NCDOT,1031,77601.62487,682,0,59,Onsite Parking,ecity_camd_dismalswamp_002.png,1,Camden County,,0,n/a,1,0,1/10/13,,Estuarine
-78.08904038,33.9057186,Oak Island,SE 75th Street,SE 76th and E Beach Drive,Beach,0,https://oakisland.recdesk.com/Community/Page?pageId=8056,0,1,0,Doggie Box,,,Brunswick,1,Wilmington Regional Office,0,Field Value,0,0,0,,0,Oak Island,Municipality,160,300.257671,375,0,4,Onsite Parking,Neighborhood.png,0,Oak Island,,0,n/a,0,0,21:08.8,E,Ocean
-77.98246884,34.22151357,Belville,Belville Riverwalk Park,580 River Rd SE,Shoreline,0,n/a,,0,1,"3 picnic shelters, 2 playgrounds, 1/3 mile walking trail, boardwalk, nature trails,  and a viewing deck overlooking the river.   The park also has a boat access and a 125-foot fishing pier.",,,Brunswick,1,Wilmington Regional Office,1,Field Value,0,1,1,6,1,Belville,Municipality,600,9960.019991,774,1,100,Onsite Parking,waterfront.png,1,Belville,,0,n/a,1,0,7/15/22,No,Estuarine
-77.81003504,34.18882091,Wrightsville Beach,41,Northrop St,Beach,0,https://www.townofwrightsvillebeach.com/321/Accessibility,,1,1,,,,New Hanover,0,WILM,0,Field Value,0,0,0,0,0,Wrightsville Beach,Municipality,48,515.073792,45,0,0,On-Street Parking,WB04.png,0,Wrightsville Beach,,,n/a,0,0,57:23.1,,Ocean
-77.06934445,34.65269655,Emerald Isle,EI-8,Ocean Oaks Dr. and Ocean Dr.,Beach,1,https://www.emeraldisle-nc.org/170/Beach-Wheel-Chair-Program,,1,1,,,,Carteret,0,Morehead City Regional Office,1,Field Value,0,0,0,1,0,,Municipality,528,529.942634,542,1,1,Onsite Parking,EI222.png,0,Emerald Isle,Parking located 0.4 mile north at Ocean Oaks Park,0,n/a,0,0,5/2/03,No,Ocean
-75.68093569,36.05282097,Kill Devil Hills,Helga Street Ocean Access,Helga Street and North Virginia Dare Trail,Beach,0,https://www.kdhnc.com/257/Ocean-Rescue-Division,,1,1,,,,Dare,0,Elizabeth City Regional Office,0,Field Value,0,0,0,0,0,Town of Kill Devil Hills,Municipality,1137,461.186323,709,0,0,No Parking,ecity_kdh_helga_095.png,0,Kill Devil Hills,,,n/a,0,0,12/5/07,E,Ocean
-77.89208935,34.03313357,Carolina Beach,Cape Fear Blvd,Cape Fear Blvd,Beach,,https://www.carolinabeach.org/government/departments/parks-recreation/beach-wheelchairs,1,1,,Accessible Ramp & Beach Mats,,,New Hanover,1,WILM,1,Field Value,1,1,1,,0,Carolina Beach,Municipality,,113.690952,857,1,,Parking off-site,,0,Carolina Beach,Parking in close proximity.,,n/a,1,1,5/16/22 15:06,,Ocean
-78.0177268,33.91724082,Southport,City Dock,116 East Bay Street,Shoreline,0,n/a,,0,1,Pier over Cape Fear River,,,Brunswick,1,Wilmington Regional Office,0,Field Value,0,1,1,,0,Southport,Municipality,581,790.937907,791,1,,On-Street Parking,SP32.png,0,Southport,,0,n/a,0,0,3/30/05,No,Estuarine
-76.73576113,34.69803167,Atlantic Beach,Beaufort Ave.,Glenn St. and Beaufort Ave.,Beach,,http://atlanticbeach-nc.com/departments/fire-department/beach-wheelchair-program/,,1,1,,,,Carteret,0,Morehead City Regional Office,1,Field Value,,,,0,0,Atlantic Beach,Municipality,353,408.111935,526,,0,No Parking,AB14.png,,Atlantic Beach,,,n/a,,,5/5/03,,Ocean
-75.48815237,35.4064209,Dare County,Ramp 32 / Little Kinnakeet Beach Trail,NC 12,Beach,0,n/a,,0,0,footpath - off-road vehicle permit required to drive on beach 1/4 mile north,,,Dare,0,Elizabeth City Regional Office,0,Field Value,0,0,0,,0,NPS,Federal,0,10617.52408,506,0,18,Onsite Parking,ecity_dare_nps32ramp_205.JPG,0,Dare County,,0,n/a,0,0,1/30/08,Y,Ocean
-75.689822,36.047909,Kill Devil Hills,Moor Shores Estuarine Access,3136 Bay Drive,Shoreline,0,https://www.kdhnc.com/257/Ocean-Rescue-Division,,1,1,pier with benches on terminus platform,CW17529,2020-21,Dare,1,WARO,0,Field Value,0,0,0,1,0,Town of Kill Devil Hills,Municipality,1056,1130.705254,229,0,5,Onsite Parking,ecity_kdh_moorshores_122.png,0,Kill Devil Hills,,0,n/a,0,0,3/22/22,No,Estuarine
-78.44935566,33.88422003,Ocean Isle Beach,Isle Plaza Access,West First Street and Isle Plaza,Beach,0,https://www.oibgov.com/pview.aspx?id=20773&catid=0,,1,1,,,,Brunswick,0,WILM,1,Field Value,0,0,0,0,0,Ocean Isle Beach,Municipality,382,232.406242,68,0,0,No Parking,OC68.png,0,Ocean Isle Beach,https://www.oibgov.com/20698/Public-Beach-Access,,n/a,0,0,4/19/24 10:19,No,Ocean
-78.30715537,33.91061502,Holden Beach,PW360,567.5 Ocean Blvd West,Beach,1,n/a,,0,1,,,,Brunswick,0,Wilmington Regional Office,1,Field Value,1,1,0,,0,,Municipality,517,2628.607665,903,0,,On-Street Parking,Local.png,0,Holden Beach,Street parking on Starfish Dr. Handicapped Parking,0,n/a,0,0,4/19/24,,Ocean
-77.89938594,34.015401,Carolina Beach,Texas Ave,US 421 and Texas Ave,Beach,1,https://www.carolinabeach.org/government/departments/parks-recreation/beach-wheelchairs,0,1,1,,,,New Hanover,1,Wilmington Regional Office,1,Field Value,0,1,1,0,0,Carolina Beach,Municipality,474,610.716446,428,1,4,Onsite Parking,Local.png,0,Carolina Beach,,1,https://www.carolinabeach.org/visitors/parking,0,0,8/9/21,No,Ocean
-76.98433207,34.67152162,Emerald Isle,EI-46,Ocean Dr. and Fairfax Rd.,Beach,0,https://www.emeraldisle-nc.org/170/Beach-Wheel-Chair-Program,,1,1,,,,Carteret,0,Morehead City Regional Office,1,Field Value,0,0,0,0,0,,Municipality,423,543.692046,188,1,0,No Parking,EI64.png,0,Emerald Isle,,,n/a,0,0,5/2/03,No,Ocean
